Franquicia,Producto,Cantidad,Venta,Fecha
Carretera Mex-Toluca 48-5,Café Chai Latte 354 ml.,1,60.0,2024-07-22
Carretera Mex-Toluca 48-5,Café Mocha 354 ml.,1,60.0,2024-07-22
Carretera Mex-Toluca 48-5,Café Americano 473ml,1,50.0,2024-07-22
Carretera Mex-Toluca 48-5,Té 473 ml,1,35.0,2024-07-22
Carretera Mex-Toluca 48-5,Churro Extra ,1,25.0,2024-07-22
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,8,520.0,2024-07-23
Carretera Mex-Toluca 48-5,Frappes. 354 ml,5,345.0,2024-07-23
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,5,345.0,2024-07-23
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,4,300.0,2024-07-23
Carretera Mex-Toluca 48-5,Frappes. 473 ml,3,225.0,2024-07-23
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,3,222.0,2024-07-23
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,3,207.0,2024-07-23
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,5,195.0,2024-07-23
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,2,138.0,2024-07-23
Carretera Mex-Toluca 48-5,Café Lechero 473ml,2,138.0,2024-07-23
Carretera Mex-Toluca 48-5,Café Lechero 354 ml.,2,120.0,2024-07-23
Carretera Mex-Toluca 48-5,Café Chai Latte 354 ml.,2,120.0,2024-07-23
Carretera Mex-Toluca 48-5,Molletes ,1,120.0,2024-07-23
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,1,113.0,2024-07-23
Carretera Mex-Toluca 48-5,Adelitas Quesos,1,105.0,2024-07-23
Carretera Mex-Toluca 48-5,Adelitas Jamón y Queso,1,105.0,2024-07-23
Carretera Mex-Toluca 48-5,Malteadas. 354 ml,1,85.0,2024-07-23
Carretera Mex-Toluca 48-5,Café Chai Latte 473 ml.,1,69.0,2024-07-23
Carretera Mex-Toluca 48-5,Granizados. 354 ml,1,69.0,2024-07-23
Carretera Mex-Toluca 48-5,Café Mocha 473 ml.,1,69.0,2024-07-23
Carretera Mex-Toluca 48-5,Café Café Latte 354 ml.,1,60.0,2024-07-23
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,2,58.0,2024-07-23
Carretera Mex-Toluca 48-5,Café Americano 473ml,1,50.0,2024-07-23
Carretera Mex-Toluca 48-5,Café Espresso 60 ml.,1,39.0,2024-07-23
Carretera Mex-Toluca 48-5,Buñuelos ,1,39.0,2024-07-23
Carretera Mex-Toluca 48-5,Té 473 ml,1,35.0,2024-07-23
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,9,621.0,2024-07-24
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,5,565.0,2024-07-24
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,8,520.0,2024-07-24
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,7,483.0,2024-07-24
Carretera Mex-Toluca 48-5,Enchiladas ,3,360.0,2024-07-24
Carretera Mex-Toluca 48-5,Molletes ,3,360.0,2024-07-24
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,4,276.0,2024-07-24
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,7,273.0,2024-07-24
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,3,225.0,2024-07-24
Carretera Mex-Toluca 48-5,Café Mocha 473 ml.,3,207.0,2024-07-24
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,2,148.0,2024-07-24
Carretera Mex-Toluca 48-5,Frappes. 354 ml,2,138.0,2024-07-24
Carretera Mex-Toluca 48-5,Chilaquiles Verde,1,120.0,2024-07-24
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,4,116.0,2024-07-24
Carretera Mex-Toluca 48-5,Adelitas Jamón y Queso,1,105.0,2024-07-24
Carretera Mex-Toluca 48-5,Malteadas. 473 ml,1,99.0,2024-07-24
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,2,86.0,2024-07-24
Carretera Mex-Toluca 48-5,Chamoyada 473 ml ,1,79.0,2024-07-24
Carretera Mex-Toluca 48-5,Café Espresso 60 ml.,2,78.0,2024-07-24
Carretera Mex-Toluca 48-5,Café Chai Latte 473 ml.,1,69.0,2024-07-24
Carretera Mex-Toluca 48-5,Café Lechero 473ml,1,69.0,2024-07-24
Carretera Mex-Toluca 48-5,Café Mocha 354 ml.,1,60.0,2024-07-24
Carretera Mex-Toluca 48-5,Carlota Chocolate,1,60.0,2024-07-24
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,1,60.0,2024-07-24
Carretera Mex-Toluca 48-5,Leche vegetal ,1,12.0,2024-07-24
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,10,690.0,2024-07-25
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,9,585.0,2024-07-25
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,7,525.0,2024-07-25
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,11,319.0,2024-07-25
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,4,296.0,2024-07-25
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,2,226.0,2024-07-25
Carretera Mex-Toluca 48-5,Adelitas Jamón y Queso,2,210.0,2024-07-25
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,3,207.0,2024-07-25
Carretera Mex-Toluca 48-5,Café Café Latte 473 ml.,3,207.0,2024-07-25
Carretera Mex-Toluca 48-5,Buñuelos ,5,195.0,2024-07-25
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,4,156.0,2024-07-25
Carretera Mex-Toluca 48-5,Café Americano 473ml,3,150.0,2024-07-25
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,2,138.0,2024-07-25
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,3,129.0,2024-07-25
Carretera Mex-Toluca 48-5,Enfrijoladas ,1,120.0,2024-07-25
Carretera Mex-Toluca 48-5,Molletes ,1,120.0,2024-07-25
Carretera Mex-Toluca 48-5,Café Café Latte 354 ml.,2,120.0,2024-07-25
Carretera Mex-Toluca 48-5,Adelitas Española,1,105.0,2024-07-25
Carretera Mex-Toluca 48-5,Adelitas Quesos,1,105.0,2024-07-25
Carretera Mex-Toluca 48-5,Malteadas. 473 ml,1,99.0,2024-07-25
Carretera Mex-Toluca 48-5,Frappes. 473 ml,1,75.0,2024-07-25
Carretera Mex-Toluca 48-5,Té 473 ml,2,70.0,2024-07-25
Carretera Mex-Toluca 48-5,Café Mocha 473 ml.,1,69.0,2024-07-25
Carretera Mex-Toluca 48-5,Café Café de olla 473ml,1,65.0,2024-07-25
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,1,60.0,2024-07-25
Carretera Mex-Toluca 48-5,Café Café de olla 354 ml.,1,55.0,2024-07-25
Carretera Mex-Toluca 48-5,Salsas Nutella,1,10.0,2024-07-25
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,9,621.0,2024-07-26
Carretera Mex-Toluca 48-5,Frappes. 354 ml,9,621.0,2024-07-26
Carretera Mex-Toluca 48-5,Buñuelos ,10,390.0,2024-07-26
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,5,345.0,2024-07-26
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,3,339.0,2024-07-26
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,5,325.0,2024-07-26
Carretera Mex-Toluca 48-5,Malteadas. 354 ml,3,255.0,2024-07-26
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,3,180.0,2024-07-26
Carretera Mex-Toluca 48-5,Chamoyada 473 ml ,2,158.0,2024-07-26
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,4,156.0,2024-07-26
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,2,148.0,2024-07-26
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,2,138.0,2024-07-26
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,4,116.0,2024-07-26
Carretera Mex-Toluca 48-5,Café Café de olla 354 ml.,2,110.0,2024-07-26
Carretera Mex-Toluca 48-5,Adelitas Quesos,1,105.0,2024-07-26
Carretera Mex-Toluca 48-5,Malteada Sabor Churro ,1,99.0,2024-07-26
Carretera Mex-Toluca 48-5,Frappes. 473 ml,1,75.0,2024-07-26
Carretera Mex-Toluca 48-5,Café Chai Latte 473 ml.,1,69.0,2024-07-26
Carretera Mex-Toluca 48-5,Café Café de olla 473ml,1,65.0,2024-07-26
Carretera Mex-Toluca 48-5,Café Chai Latte 354 ml.,1,60.0,2024-07-26
Carretera Mex-Toluca 48-5,Carlota Chocolate,1,60.0,2024-07-26
Carretera Mex-Toluca 48-5,Café Americano 473ml,1,50.0,2024-07-26
Carretera Mex-Toluca 48-5,Café Espresso 60 ml.,1,39.0,2024-07-26
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,14,1036.0,2024-07-27
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,13,507.0,2024-07-27
Carretera Mex-Toluca 48-5,Enchiladas ,4,480.0,2024-07-27
Carretera Mex-Toluca 48-5,Chilaquiles Verde,4,480.0,2024-07-27
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,4,452.0,2024-07-27
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,6,414.0,2024-07-27
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,5,375.0,2024-07-27
Carretera Mex-Toluca 48-5,Frappes. 354 ml,5,345.0,2024-07-27
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,5,345.0,2024-07-27
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,5,325.0,2024-07-27
Carretera Mex-Toluca 48-5,Malteadas. 354 ml,3,255.0,2024-07-27
Carretera Mex-Toluca 48-5,Sincronizadas ,2,240.0,2024-07-27
Carretera Mex-Toluca 48-5,Buñuelos ,6,234.0,2024-07-27
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,5,215.0,2024-07-27
Carretera Mex-Toluca 48-5,Malteadas. 473 ml,2,198.0,2024-07-27
Carretera Mex-Toluca 48-5,Café Americano 473ml,3,150.0,2024-07-27
Carretera Mex-Toluca 48-5,Granizados. 354 ml,2,138.0,2024-07-27
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,2,138.0,2024-07-27
Carretera Mex-Toluca 48-5,Café Chai Latte 473 ml.,2,138.0,2024-07-27
Carretera Mex-Toluca 48-5,Molletes ,1,120.0,2024-07-27
Carretera Mex-Toluca 48-5,Congelando Momentos ,1,85.0,2024-07-27
Carretera Mex-Toluca 48-5,Café Mocha 473 ml.,1,69.0,2024-07-27
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,1,60.0,2024-07-27
Carretera Mex-Toluca 48-5,Carlota Vainilla,1,60.0,2024-07-27
Carretera Mex-Toluca 48-5,Café Mocha 354 ml.,1,60.0,2024-07-27
Carretera Mex-Toluca 48-5,Carlota Fresa,1,60.0,2024-07-27
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,2,58.0,2024-07-27
Carretera Mex-Toluca 48-5,Té 354 ml,1,30.0,2024-07-27
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,8,904.0,2024-07-28
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,10,650.0,2024-07-28
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,7,518.0,2024-07-28
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,8,480.0,2024-07-28
Carretera Mex-Toluca 48-5,Frappes. 354 ml,6,414.0,2024-07-28
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,6,414.0,2024-07-28
Carretera Mex-Toluca 48-5,Sincronizadas ,3,360.0,2024-07-28
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,9,351.0,2024-07-28
Carretera Mex-Toluca 48-5,Enfrijoladas ,2,240.0,2024-07-28
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,3,225.0,2024-07-28
Carretera Mex-Toluca 48-5,Café Café Latte 473 ml.,3,207.0,2024-07-28
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,3,207.0,2024-07-28
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,4,172.0,2024-07-28
Carretera Mex-Toluca 48-5,Malteadas. 354 ml,2,170.0,2024-07-28
Carretera Mex-Toluca 48-5,Buñuelos ,4,156.0,2024-07-28
Carretera Mex-Toluca 48-5,Café Americano 473ml,3,150.0,2024-07-28
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,2,138.0,2024-07-28
Carretera Mex-Toluca 48-5,Café Café de olla 473ml,2,130.0,2024-07-28
Carretera Mex-Toluca 48-5,Molletes ,1,120.0,2024-07-28
Carretera Mex-Toluca 48-5,Adelitas Española,1,105.0,2024-07-28
Carretera Mex-Toluca 48-5,Malteada Sabor Lechera ,1,99.0,2024-07-28
Carretera Mex-Toluca 48-5,Chamoyada 354ml ,1,75.0,2024-07-28
Carretera Mex-Toluca 48-5,Frappes. 473 ml,1,75.0,2024-07-28
Carretera Mex-Toluca 48-5,Granizados. 354 ml,1,69.0,2024-07-28
Carretera Mex-Toluca 48-5,Café Café Latte 354 ml.,1,60.0,2024-07-28
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,2,58.0,2024-07-28
Carretera Mex-Toluca 48-5,Café Café de olla 354 ml.,1,55.0,2024-07-28
Carretera Mex-Toluca 48-5,Café Espresso 60 ml.,1,39.0,2024-07-28
Carretera Mex-Toluca 48-5,Té 473 ml,1,35.0,2024-07-28
Carretera Mex-Toluca 48-5,Té 354 ml,1,30.0,2024-07-28
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,4,260.0,2024-07-29
Carretera Mex-Toluca 48-5,Molletes ,2,240.0,2024-07-29
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,6,234.0,2024-07-29
Carretera Mex-Toluca 48-5,Café Lechero 473ml,3,207.0,2024-07-29
Carretera Mex-Toluca 48-5,Buñuelos ,4,156.0,2024-07-29
Carretera Mex-Toluca 48-5,Café Americano 473ml,3,150.0,2024-07-29
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,2,150.0,2024-07-29
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,2,148.0,2024-07-29
Carretera Mex-Toluca 48-5,Café Chai Latte 473 ml.,2,138.0,2024-07-29
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,2,138.0,2024-07-29
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,2,138.0,2024-07-29
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,3,87.0,2024-07-29
Carretera Mex-Toluca 48-5,Granizados. 473 ml,1,75.0,2024-07-29
Carretera Mex-Toluca 48-5,Frappes. 354 ml,1,69.0,2024-07-29
Carretera Mex-Toluca 48-5,Café Mocha 354 ml.,1,60.0,2024-07-29
Carretera Mex-Toluca 48-5,Café Lechero 354 ml.,1,60.0,2024-07-29
Carretera Mex-Toluca 48-5,Café Espresso 60 ml.,1,39.0,2024-07-29
Carretera Mex-Toluca 48-5,Té 473 ml,1,35.0,2024-07-29
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,9,621.0,2024-07-30
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,9,585.0,2024-07-30
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,7,518.0,2024-07-30
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,6,414.0,2024-07-30
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,5,375.0,2024-07-30
Carretera Mex-Toluca 48-5,Enfrijoladas ,3,360.0,2024-07-30
Carretera Mex-Toluca 48-5,Enchiladas ,3,360.0,2024-07-30
Carretera Mex-Toluca 48-5,Frappes. 354 ml,4,276.0,2024-07-30
Carretera Mex-Toluca 48-5,Chilaquiles Verde,2,240.0,2024-07-30
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,2,226.0,2024-07-30
Carretera Mex-Toluca 48-5,Adelitas Española,2,210.0,2024-07-30
Carretera Mex-Toluca 48-5,Café Chai Latte 473 ml.,3,207.0,2024-07-30
Carretera Mex-Toluca 48-5,Café Americano 473ml,4,200.0,2024-07-30
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,3,180.0,2024-07-30
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,4,156.0,2024-07-30
Carretera Mex-Toluca 48-5,Buñuelos ,4,156.0,2024-07-30
Carretera Mex-Toluca 48-5,Frappes. 473 ml,2,150.0,2024-07-30
Carretera Mex-Toluca 48-5,Chilaquiles Roja,1,120.0,2024-07-30
Carretera Mex-Toluca 48-5,Adelitas Quesos,1,105.0,2024-07-30
Carretera Mex-Toluca 48-5,Malteada Sabor Churro ,1,99.0,2024-07-30
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,2,86.0,2024-07-30
Carretera Mex-Toluca 48-5,Malteadas. 354 ml,1,85.0,2024-07-30
Carretera Mex-Toluca 48-5,Café Mocha 473 ml.,1,69.0,2024-07-30
Carretera Mex-Toluca 48-5,Granizados. 354 ml,1,69.0,2024-07-30
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,1,69.0,2024-07-30
Carretera Mex-Toluca 48-5,Café Lechero 354 ml.,1,60.0,2024-07-30
Carretera Mex-Toluca 48-5,Café Café Latte 354 ml.,1,60.0,2024-07-30
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,15,1035.0,2024-07-31
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,14,966.0,2024-07-31
Carretera Mex-Toluca 48-5,Enchiladas ,4,480.0,2024-07-31
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,4,452.0,2024-07-31
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,8,312.0,2024-07-31
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,4,300.0,2024-07-31
Carretera Mex-Toluca 48-5,Chilaquiles Verde,2,240.0,2024-07-31
Carretera Mex-Toluca 48-5,Enfrijoladas ,2,240.0,2024-07-31
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,3,207.0,2024-07-31
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,3,180.0,2024-07-31
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,2,148.0,2024-07-31
Carretera Mex-Toluca 48-5,Café Lechero 473ml,2,138.0,2024-07-31
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,2,130.0,2024-07-31
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,3,129.0,2024-07-31
Carretera Mex-Toluca 48-5,Sincronizadas ,1,120.0,2024-07-31
Carretera Mex-Toluca 48-5,Café Americano 473ml,2,100.0,2024-07-31
Carretera Mex-Toluca 48-5,Malteadas. 473 ml,1,99.0,2024-07-31
Carretera Mex-Toluca 48-5,Granizados. 473 ml,1,75.0,2024-07-31
Carretera Mex-Toluca 48-5,Frappes. 473 ml,1,75.0,2024-07-31
Carretera Mex-Toluca 48-5,Té 473 ml,2,70.0,2024-07-31
Carretera Mex-Toluca 48-5,Granizados. 354 ml,1,69.0,2024-07-31
Carretera Mex-Toluca 48-5,Buñuelos ,1,39.0,2024-07-31
Carretera Mex-Toluca 48-5,Té 354 ml,1,30.0,2024-07-31
Carretera Mex-Toluca 48-5,Churro Extra ,1,25.0,2024-07-31
Carretera Mex-Toluca 48-5,Salsas Nutella,1,10.0,2024-07-31
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,6,450.0,2024-06-01
Carretera Mex-Toluca 48-5,Frappes. 473 ml,6,450.0,2024-06-01
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,6,444.0,2024-06-01
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,11,429.0,2024-06-01
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,6,414.0,2024-06-01
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,6,414.0,2024-06-01
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,6,390.0,2024-06-01
Carretera Mex-Toluca 48-5,Buñuelos ,9,351.0,2024-06-01
Carretera Mex-Toluca 48-5,Enchiladas ,2,240.0,2024-06-01
Carretera Mex-Toluca 48-5,Chamoyada 473 ml ,3,237.0,2024-06-01
Carretera Mex-Toluca 48-5,Café Chai Latte 473 ml.,3,207.0,2024-06-01
Carretera Mex-Toluca 48-5,Café Café Latte 473 ml.,3,207.0,2024-06-01
Carretera Mex-Toluca 48-5,Frappes. 354 ml,3,207.0,2024-06-01
Carretera Mex-Toluca 48-5,Malteadas. 473 ml,2,198.0,2024-06-01
Carretera Mex-Toluca 48-5,Café Café de olla 354 ml.,3,165.0,2024-06-01
Carretera Mex-Toluca 48-5,Chamoyada 354ml ,2,150.0,2024-06-01
Carretera Mex-Toluca 48-5,Café Café de olla 473ml,2,130.0,2024-06-01
Carretera Mex-Toluca 48-5,Café Chai Latte 354 ml.,2,120.0,2024-06-01
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,4,116.0,2024-06-01
Carretera Mex-Toluca 48-5,Adelitas Jamón y Queso,1,105.0,2024-06-01
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,2,86.0,2024-06-01
Carretera Mex-Toluca 48-5,Malteadas. 354 ml,1,85.0,2024-06-01
Carretera Mex-Toluca 48-5,Congelando Momentos ,1,85.0,2024-06-01
Carretera Mex-Toluca 48-5,Té 473 ml,2,70.0,2024-06-01
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,1,69.0,2024-06-01
Carretera Mex-Toluca 48-5,Café Lechero 354 ml.,1,60.0,2024-06-01
Carretera Mex-Toluca 48-5,Chamoyada 473 ml ,6,474.0,2024-06-02
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,5,345.0,2024-06-02
Carretera Mex-Toluca 48-5,Buñuelos ,8,312.0,2024-06-02
Carretera Mex-Toluca 48-5,Frappes. 473 ml,4,300.0,2024-06-02
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,4,260.0,2024-06-02
Carretera Mex-Toluca 48-5,Granizados. 473 ml,3,225.0,2024-06-02
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,3,207.0,2024-06-02
Carretera Mex-Toluca 48-5,Malteadas. 473 ml,2,198.0,2024-06-02
Carretera Mex-Toluca 48-5,Café Café de olla 473ml,3,195.0,2024-06-02
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,5,195.0,2024-06-02
Carretera Mex-Toluca 48-5,Chilaquiles Verde,1,120.0,2024-06-02
Carretera Mex-Toluca 48-5,Chilaquiles Roja,1,120.0,2024-06-02
Carretera Mex-Toluca 48-5,Molletes ,1,120.0,2024-06-02
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,2,86.0,2024-06-02
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,1,75.0,2024-06-02
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,1,74.0,2024-06-02
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,1,69.0,2024-06-02
Carretera Mex-Toluca 48-5,Café Café Latte 354 ml.,1,60.0,2024-06-02
Carretera Mex-Toluca 48-5,Café Café de olla 354 ml.,1,55.0,2024-06-02
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,1,29.0,2024-06-02
Carretera Mex-Toluca 48-5,Agua ,1,25.0,2024-06-02
Carretera Mex-Toluca 48-5,Enchiladas ,7,860.0,2024-06-03
Carretera Mex-Toluca 48-5,Chamoyada 473 ml ,4,316.0,2024-06-03
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,4,276.0,2024-06-03
Carretera Mex-Toluca 48-5,Frappes. 354 ml,4,276.0,2024-06-03
Carretera Mex-Toluca 48-5,Molletes ,2,240.0,2024-06-03
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,5,195.0,2024-06-03
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,2,150.0,2024-06-03
Carretera Mex-Toluca 48-5,Café Americano 473ml,3,150.0,2024-06-03
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,2,138.0,2024-06-03
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,2,138.0,2024-06-03
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,2,130.0,2024-06-03
Carretera Mex-Toluca 48-5,Sincronizadas ,1,120.0,2024-06-03
Carretera Mex-Toluca 48-5,Chilaquiles Roja,1,120.0,2024-06-03
Carretera Mex-Toluca 48-5,Chilaquiles Verde,1,120.0,2024-06-03
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,1,113.0,2024-06-03
Carretera Mex-Toluca 48-5,Café Café de olla 354 ml.,2,110.0,2024-06-03
Carretera Mex-Toluca 48-5,Buñuelos ,2,78.0,2024-06-03
Carretera Mex-Toluca 48-5,Frappes. 473 ml,1,75.0,2024-06-03
Carretera Mex-Toluca 48-5,Café Mocha 473 ml.,1,69.0,2024-06-03
Carretera Mex-Toluca 48-5,Café Lechero 473ml,1,69.0,2024-06-03
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,1,60.0,2024-06-03
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,1,43.0,2024-06-03
Carretera Mex-Toluca 48-5,Salsas Chocolate,3,30.0,2024-06-03
Carretera Mex-Toluca 48-5,Té 354 ml,1,30.0,2024-06-03
Carretera Mex-Toluca 48-5,Enchiladas ,6,720.0,2024-06-04
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,7,483.0,2024-06-04
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,7,455.0,2024-06-04
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,11,429.0,2024-06-04
Carretera Mex-Toluca 48-5,Molletes ,3,410.0,2024-06-04
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,5,370.0,2024-06-04
Carretera Mex-Toluca 48-5,Enfrijoladas ,3,360.0,2024-06-04
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,4,276.0,2024-06-04
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,2,226.0,2024-06-04
Carretera Mex-Toluca 48-5,Frappes. 473 ml,2,150.0,2024-06-04
Carretera Mex-Toluca 48-5,Granizados. 473 ml,2,150.0,2024-06-04
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,2,138.0,2024-06-04
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,3,129.0,2024-06-04
Carretera Mex-Toluca 48-5,Sincronizadas ,1,120.0,2024-06-04
Carretera Mex-Toluca 48-5,Adelitas Jamón y Queso,1,105.0,2024-06-04
Carretera Mex-Toluca 48-5,Malteadas. 473 ml,1,99.0,2024-06-04
Carretera Mex-Toluca 48-5,Congelando Momentos ,1,85.0,2024-06-04
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,1,75.0,2024-06-04
Carretera Mex-Toluca 48-5,Café Café de olla 473ml,1,65.0,2024-06-04
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,1,60.0,2024-06-04
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,1,29.0,2024-06-04
Carretera Mex-Toluca 48-5,Molletes ,4,480.0,2024-06-05
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,4,452.0,2024-06-05
Carretera Mex-Toluca 48-5,Adelitas Jamón y Queso,4,420.0,2024-06-05
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,5,345.0,2024-06-05
Carretera Mex-Toluca 48-5,Frappes. 473 ml,4,300.0,2024-06-05
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,4,276.0,2024-06-05
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,4,260.0,2024-06-05
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,3,225.0,2024-06-05
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,3,222.0,2024-06-05
